iter	Passed	Remaining
287	677	1675
288	679	1671
289	680	1666
290	682	1662
291	684	1658
292	685	1654
293	687	1651
294	689	1646
295	690	1642
296	692	1639
297	694	1635
298	695	1631
299	697	1627
300	699	1624
301	700	1620
302	702	1615
303	703	1611
304	705	1607
305	707	1603
306	708	1599
307	709	1595
308	711	1590
309	713	1587
310	715	1584
311	716	1580
312	717	1575
313	719	1571
314	721	1568
315	723	1565
316	724	1561
317	725	1556
318	727	1553
319	729	1549
320	730	1545
321	732	1541
322	733	1537
323	738	1540
324	740	1538
325	752	1554
326	753	1551
327	755	1547
328	756	1542
329	758	1540
330	760	1537
331	762	1533
332	763	1529
333	765	1526
334	766	1522
335	768	1518
336	770	1515
337	772	1512
338	774	1510
339	776	1506
340	778	1504
341	780	1500
342	781	1497
343	783	1494
344	785	1491
345	788	1491
346	790	1488
347	792	1485
348	794	1482
349	796	1479
350	798	1475
351	799	1472
352	801	1468
353	803	1465
354	805	1462
355	806	1458
356	807	1455
357	810	1452
358	811	1449
359	813	1445
360	814	1442
361	817	1440
362	819	1437
363	821	1435
364	823	1432
365	825	1430
366	827	1426
367	829	1423
368	831	1421
369	833	1418
370	835	1415
371	836	1412
372	838	1409
373	840	1407
374	842	1404
375	844	1400
376	845	1397
377	848	1395
378	849	1392
379	851	1389
380	853	1386
381	855	1383
382	856	1380
383	858	1377
384	860	1375
385	862	1372
386	864	1369
387	866	1366
388	868	1363
389	870	1361
390	871	1358
391	873	1355
392	875	1352
393	877	1349
394	879	1347
395	881	1344
396	883	1341
397	884	1338
398	886	1335
399	888	1332
400	890	1329
401	891	1326
402	893	1324
403	895	1321
404	897	1318
405	898	1315
406	901	1313
407	903	1311
408	905	1308
409	907	1305
410	909	1302
411	911	1300
412	913	1298
413	916	1296
414	918	1294
415	920	1292
416	922	1290
417	924	1287
418	926	1284
419	928	1282
420	932	1282
421	935	1281
422	937	1279
423	939	1276
424	943	1277
425	947	1276
426	950	1275
427	952	1272
428	954	1270
429	956	1267
430	958	1264
431	959	1261
432	961	1259
433	964	1257
434	965	1254
435	970	1255
436	978	1261
437	981	1259
438	985	1258
439	986	1256
440	989	1254
441	994	1255
442	997	1253
443	1000	1252
444	1003	1251
445	1006	1249
446	1008	1247
447	1010	1245
448	1013	1243
449	1015	1240
450	1019	1240
451	1022	1239
452	1025	1237
453	1029	1237
454	1031	1235
455	1035	1235
456	1039	1234
457	1041	1232
458	1043	1230
459	1047	1229
460	1050	1228
461	1052	1226
462	1055	1224
463	1058	1222
464	1061	1221
465	1066	1222
466	1072	1223
467	1074	1221
468	1076	1219
469	1080	1218
470	1083	1217
471	1086	1214
472	1089	1213
473	1091	1210
474	1097	1212
475	1099	1210
476	1103	1210
477	1106	1208
478	1108	1205
479	1112	1205
480	1114	1202
481	1117	1200
482	1119	1197
483	1121	1195
484	1123	1193
485	1126	1191
486	1129	1189
487	1131	1187
488	1133	1184
489	1135	1182
490	1137	1179
491	1140	1177
492	1143	1175
493	1145	1173
494	1147	1170
495	1151	1170
496	1153	1167
497	1157	1166
498	1159	1164
499	1161	1161
500	1165	1160
501	1167	1158
502	1169	1155
503	1172	1153
504	1174	1151
505	1177	1149
506	1179	1147
507	1182	1145
508	1184	1142
509	1186	1140
510	1188	1137
511	1190	1134
512	1193	1132
513	1195	1130
514	1197	1127
515	1199	1124
516	1215	1135
517	1218	1133
518	1220	1130
519	1228	1134
520	1230	1131
521	1234	1130
522	1236	1127
523	1241	1127
524	1243	1125
525	1245	1122
526	1247	1119
527	1249	1117
528	1251	1114
529	1253	1111
530	1254	1108
531	1257	1105
532	1259	1103
533	1261	1100
534	1262	1097
535	1265	1095
536	1267	1092
537	1268	1089
538	1270	1086
539	1272	1084
540	1274	1081
541	1275	1078
542	1277	1075
543	1279	1072
544	1289	1076
545	1291	1074
546	1293	1071
547	1296	1069
548	1298	1066
549	1300	1064
550	1304	1063
551	1306	1060
552	1309	1058
553	1312	1056
554	1314	1054
555	1316	1051
556	1319	1049
557	1321	1046
558	1323	1043
559	1325	1041
560	1327	1038
561	1330	1036
562	1333	1035
563	1335	1032
564	1338	1030
565	1340	1027
566	1342	1024
567	1344	1022
568	1345	1019
569	1347	1016
570	1350	1014
571	1352	1012
572	1354	1009
573	1357	1007
574	1359	1005
575	1361	1002
576	1363	999
577	1365	996
578	1367	994
579	1369	991
580	1371	989
581	1373	986
582	1374	983
583	1376	980
584	1378	978
585	1380	975
586	1381	972
587	1383	969
588	1386	967
589	1387	964
590	1389	961
591	1390	958
592	1392	955
593	1394	953
594	1396	950
595	1397	947
596	1399	944
597	1401	942
598	1403	939
599	1405	936
600	1406	933
601	1408	931
602	1410	928
603	1411	925
604	1413	922
605	1415	920
606	1417	917
607	1419	915
608	1420	912
609	1423	909
610	1424	907
611	1426	904
612	1427	901
613	1429	898
614	1431	896
615	1433	893
616	1434	890
617	1436	887
618	1443	888
619	1451	889
620	1453	887
621	1455	884
622	1457	882
623	1459	879
624	1461	876
625	1463	874
626	1465	871
627	1466	868
628	1468	866
629	1470	863
630	1471	860
631	1473	857
632	1475	855
633	1476	852
634	1478	849
635	1480	847
636	1481	844
637	1484	842
638	1485	839
639	1487	836
640	1488	833
641	1490	831
642	1492	828
643	1493	825
644	1495	823
645	1497	820
646	1499	817
647	1500	815
648	1502	812
649	1504	809
650	1506	807
651	1507	804
652	1509	802
653	1511	799
654	1513	797
655	1514	794
656	1516	791
657	1517	788
658	1520	786
659	1522	784
660	1524	781
661	1525	779
662	1528	776
663	1529	774
664	1531	771
665	1534	769
666	1536	767
667	1538	764
668	1540	762
669	1543	760
670	1545	757
671	1548	755
672	1551	753
673	1553	751
674	1555	748
675	1557	746
676	1559	743
677	1560	741
678	1562	738
679	1564	736
680	1566	733
681	1567	730
682	1569	728
683	1570	725
684	1572	723
685	1574	720
686	1576	718
687	1577	715
688	1579	713
689	1581	710
690	1583	708
691	1585	705
692	1586	702
693	1588	700
694	1590	697
695	1591	695
696	1593	692
697	1595	690
698	1597	687
699	1598	685
700	1600	682
701	1602	680
702	1603	677
703	1605	675
704	1607	672
705	1608	669
706	1610	667
707	1612	665
708	1614	662
709	1616	660
710	1617	657
711	1619	655
712	1621	652
713	1622	650
714	1624	647
715	1626	645
716	1628	642
717	1629	640
718	1631	637
719	1633	635
720	1635	633
721	1637	630
722	1640	628
723	1642	626
724	1644	623
725	1646	621
726	1648	618
727	1649	616
728	1651	613
729	1653	611
730	1654	608
731	1656	606
732	1658	603
733	1659	601
734	1661	598
735	1663	596
736	1674	597
737	1680	596
738	1682	594
739	1684	591
740	1685	589
741	1687	586
742	1688	584
743	1690	581
744	1692	579
745	1694	576
746	1695	574
747	1697	571
748	1699	569
749	1701	567
750	1702	564
751	1704	562
752	1705	559
753	1707	557
754	1709	554
755	1711	552
756	1713	549
757	1715	547
758	1716	545
759	1718	542
760	1720	540
761	1721	537
762	1723	535
763	1725	532
764	1726	530
765	1728	527
766	1729	525
767	1731	523
768	1733	520
769	1735	518
770	1737	515
771	1738	513
772	1740	511
773	1741	508
774	1743	506
775	1745	503
776	1746	501
777	1748	498
778	1749	496
779	1751	493
780	1753	491
781	1754	489
782	1756	486
783	1757	484
784	1759	481
785	1761	479
786	1762	477
787	1764	474
788	1765	472
789	1767	469
790	1769	467
791	1770	465
792	1772	462
793	1774	460
794	1776	457
795	1777	455
796	1779	453
797	1781	450
798	1782	448
799	1784	446
800	1786	443
801	1787	441
802	1789	439
803	1791	436
804	1793	434
805	1794	431
806	1797	429
807	1798	427
808	1800	425
809	1801	422
810	1804	420
811	1805	418
812	1807	415
813	1809	413
814	1811	411
815	1812	408
816	1814	406
817	1816	404
818	1818	401
819	1820	399
820	1821	397
821	1823	394
822	1825	392
823	1827	390
824	1828	387
825	1830	385
826	1833	383
827	1836	381
828	1837	379
829	1839	376
830	1841	374
831	1843	372
832	1844	369
833	1847	367
834	1849	365
835	1850	363
836	1852	360
837	1854	358
838	1856	356
839	1857	353
840	1859	351
841	1861	349
842	1863	346
843	1864	344
844	1866	342
845	1868	340
846	1869	337
847	1871	335
848	1873	333
849	1875	330
850	1876	328
851	1878	326
852	1880	324
853	1882	321
854	1883	319
855	1885	317
856	1887	315
857	1897	313
858	1903	312
859	1905	310
860	1908	308
861	1909	305
862	1912	303
863	1915	301
864	1917	299
865	1919	297
866	1921	294
867	1924	292
868	1926	290
869	1928	288
870	1930	285
871	1932	283
872	1933	281
873	1935	279
874	1937	276
875	1939	274
876	1940	272
877	1942	269
878	1944	267
879	1945	265
880	1947	263
881	1949	260
882	1951	258
883	1952	256
884	1954	254
885	1956	251
886	1958	249
887	1960	247
888	1962	244
889	1963	242
890	1965	240
891	1966	238
892	1969	235
893	1971	233
894	1973	231
895	1975	229
896	1982	227
897	1984	225
898	1985	223
899	1987	220
900	1989	218
901	1991	216
902	1993	214
903	1995	211
904	1997	209
905	1999	207
906	2000	205
907	2002	202
908	2004	200
909	2006	198
910	2008	196
911	2010	193
912	2012	191
913	2014	189
914	2016	187
915	2017	185
916	2020	182
917	2022	180
918	2023	178
919	2025	176
920	2026	173
921	2028	171
922	2030	169
923	2032	167
924	2034	164
925	2036	162
926	2038	160
927	2040	158
928	2042	156
929	2044	153
930	2046	151
931	2047	149
932	2049	147
933	2051	144
934	2052	142
935	2054	140
936	2056	138
937	2058	136
938	2060	133
939	2061	131
940	2063	129
941	2065	127
942	2066	124
943	2068	122
944	2070	120
945	2072	118
946	2073	116
947	2075	113
948	2077	111
949	2079	109
950	2081	107
951	2083	105
952	2085	102
953	2087	100
954	2089	98
955	2091	96
956	2092	94
957	2094	91
958	2096	89
959	2097	87
960	2099	85
961	2100	82
962	2102	80
963	2104	78
964	2106	76
965	2107	74
966	2109	71
967	2111	69
968	2113	67
969	2115	65
970	2117	63
971	2119	61
972	2128	59
973	2132	56
974	2134	54
975	2136	52
976	2137	50
977	2139	48
978	2141	45
979	2143	43
980	2144	41
981	2146	39
982	2148	37
983	2150	34
984	2151	32
985	2153	30
986	2155	28
987	2156	26
988	2158	24
989	2160	21
990	2161	19
991	2163	17
992	2165	15
993	2166	13
994	2168	10
995	2170	8
996	2172	6
997	2173	4
998	2175	2
999	2177	0
